accountNumber,adpNumber,transactionDirection
1002149415,8CZVJB0,Buy
1002149555,8CZVJB0,Sell
1002149613,8CZVJB0,Buy
1002149753,8CZVJB0,Sell
1002149811,8CZVJB0,Buy
1002150017,8CZVJB0,Sell
1002150256,8CZVJB0,Buy
1002150314,8CZVJB0,Sell
1002150413,8CZVJB0,Buy
1002150512,8CZVJB0,Sell
1002150850,8CZVJB0,Buy
1002151254,8CZVJB0,Sell
1002151510,8CZVJB0,Buy
1002151619,8CZVJB0,Sell
1002151817,8CZVJB0,Buy
1002152914,8CZVJB0,Sell
1002153011,8CZVJB0,Buy
1002153110,8CZVJB0,Sell
1002153219,8CZVJB0,Buy
1002153318,8CZVJB0,Sell
1002153417,8CZVJB0,Buy
1002153912,8CZVJB0,Sell
1002154118,8CZVJB0,Buy
1002154217,8CZVJB0,Sell
1002154316,8CZVJB0,Buy
1002154415,8CZVJB0,Sell
1002154514,8CZVJB0,Buy
1002154613,8CZVJB0,Sell
1002154712,8CZVJB0,Buy
1002154811,8CZVJB0,Sell
1002154910,8CZVJB0,Buy
1002155214,8CZVJB0,Sell
1002155511,8CZVJB0,Buy
1002155719,8CZVJB0,Sell
1002155917,8CZVJB0,Buy
1002156014,8CZVJB0,Sell
1002156113,8CZVJB0,Buy
1002156212,8CZVJB0,Sell
1002156311,8CZVJB0,Buy
1002156519,8CZVJB0,Sell
1002156618,8CZVJB0,Buy
1002156717,8CZVJB0,Sell
1002156915,8CZVJB0,Buy
1002157012,8CZVJB0,Sell
1002157111,8CZVJB0,Buy
1002157616,8CZVJB0,Sell
1002158218,8CZVJB0,Buy
1002158317,8CZVJB0,Sell
1002158416,8CZVJB0,Buy
1002158713,8CZVJB0,Sell
1002158812,8CZVJB0,Buy
1002158911,8CZVJB0,Sell
1002159018,8CZVJB0,Buy
1002159117,8CZVJB0,Sell
1002159216,8CZVJB0,Buy
1002159711,8CZVJB0,Sell
1002159810,8CZVJB0,Buy
1002159919,8CZVJB0,Sell
1002160016,8CZVJB0,Buy
1002160115,8CZVJB0,Sell
1002160214,8CZVJB0,Buy
1002160412,8CZVJB0,Sell
1002160511,8CZVJB0,Buy
1002160818,8CZVJB0,Sell
1002160917,8CZVJB0,Buy
1002161212,8CZVJB0,Sell
1002161311,8CZVJB0,Buy
1002161717,8CZVJB0,Sell
1002161915,8CZVJB0,Buy
1002162111,8CZVJB0,Sell
1002162210,8CZVJB0,Buy
1002162319,8CZVJB0,Sell
1002162418,8CZVJB0,Buy
1002162715,8CZVJB0,Sell
1002162814,8CZVJB0,Buy
1002162913,8CZVJB0,Sell
1002163010,8CZVJB0,Buy
1002163119,8CZVJB0,Sell
1002163218,8CZVJB0,Buy
1002163317,8CZVJB0,Sell
1002163515,8CZVJB0,Buy
1002163713,8CZVJB0,Sell
1002164018,8CZVJB0,Buy
1002164216,8CZVJB0,Sell
1002164315,8CZVJB0,Buy
1002164414,8CZVJB0,Sell
1002164513,8CZVJB0,Buy
1002164612,8CZVJB0,Sell
1002172110,8CZVJB0,Buy
1002172219,8CZVJB0,Sell
1002172318,8CZVJB0,Buy
1002172854,8CZVJB0,Sell
1002174553,8CZVJB0,Buy
1002174751,8CZVJB0,Sell
1002174850,8CZVJB0,Buy
1002175055,8CZVJB0,Sell
1002175154,8CZVJB0,Buy
1002175253,8CZVJB0,Sell
1002175352,8CZVJB0,Buy
1002175550,8CZVJB0,Sell
1002175659,8CZVJB0,Buy
1002176319,8CZVJB0,Sell
1002176558,8CZVJB0,Buy
1002177051,8CZVJB0,Sell
1002177259,8CZVJB0,Buy
1002177556,8CZVJB0,Sell
1002177614,8CZVJB0,Buy
1002177754,8CZVJB0,Sell
1002177853,8CZVJB0,Buy
1002177911,8CZVJB0,Sell
1002178059,8CZVJB0,Buy
1002178257,8CZVJB0,Sell
1002178554,8CZVJB0,Buy
1002178653,8CZVJB0,Sell
1002178919,8CZVJB0,Buy
1002179016,8CZVJB0,Sell
1002179115,8CZVJB0,Buy
1002179354,8CZVJB0,Sell
1002179453,8CZVJB0,Buy
1002179552,8CZVJB0,Sell
1002179651,8CZVJB0,Buy
1002179859,8CZVJB0,Sell
1002179958,8CZVJB0,Buy
1002180055,8CZVJB0,Sell
1002180154,8CZVJB0,Buy
1002180352,8CZVJB0,Sell
1002180550,8CZVJB0,Buy
1002180956,8CZVJB0,Sell
1002181053,8CZVJB0,Buy
1002181152,8CZVJB0,Sell
1002181350,8CZVJB0,Buy
1002181814,8CZVJB0,Sell
1002182259,8CZVJB0,Buy
1002182358,8CZVJB0,Sell
1002182853,8CZVJB0,Buy
1002183356,8CZVJB0,Sell
1002183950,8CZVJB0,Buy
1002184354,8CZVJB0,Sell
1002184651,8CZVJB0,Buy
1002184958,8CZVJB0,Sell
1002185054,8CZVJB0,Buy
1002185450,8CZVJB0,Sell
1002185757,8CZVJB0,Buy
1002185955,8CZVJB0,Sell
1002186151,8CZVJB0,Buy
1002186250,8CZVJB0,Sell
1002186458,8CZVJB0,Buy
1002186557,8CZVJB0,Sell
1002186755,8CZVJB0,Buy
1002186854,8CZVJB0,Sell
1002187050,8CZVJB0,Buy
1002187159,8CZVJB0,Sell
1002187555,8CZVJB0,Buy
1002187910,8CZVJB0,Sell
1002188314,8CZVJB0,Buy
1002188850,8CZVJB0,Sell
1002188959,8CZVJB0,Buy
1002189155,8CZVJB0,Sell
1002189551,8CZVJB0,Buy
1002189858,8CZVJB0,Sell
1002189957,8CZVJB0,Buy
1002190153,8CZVJB0,Sell
1002190252,8CZVJB0,Buy
1002190450,8CZVJB0,Sell
1002190757,8CZVJB0,Buy
1002190856,8CZVJB0,Sell
1002191151,8CZVJB0,Buy
1002191250,8CZVJB0,Sell
1002191854,8CZVJB0,Buy
1002192159,8CZVJB0,Sell
1002192357,8CZVJB0,Buy
1002193355,8CZVJB0,Sell
1002193553,8CZVJB0,Buy
1002193751,8CZVJB0,Sell
1002194056,8CZVJB0,Buy
1002194353,8CZVJB0,Sell
1002194452,8CZVJB0,Buy
1002194551,8CZVJB0,Sell
1002194650,8CZVJB0,Buy
1002194957,8CZVJB0,Sell
1002195053,8CZVJB0,Buy
1002195152,8CZVJB0,Sell
1002195251,8CZVJB0,Buy
1002195350,8CZVJB0,Sell
1002195459,8CZVJB0,Buy
1002195558,8CZVJB0,Sell
1002195657,8CZVJB0,Buy
1002195756,8CZVJB0,Sell
1002195855,8CZVJB0,Buy
1002196259,8CZVJB0,Sell
1002196358,8CZVJB0,Buy
1002196457,8CZVJB0,Sell
1002196556,8CZVJB0,Buy
1002196655,8CZVJB0,Sell
1002196952,8CZVJB0,Buy
1002197059,8CZVJB0,Sell
1002197653,8CZVJB0,Buy
1002197752,8CZVJB0,Sell
1002198057,8CZVJB0,Buy
1002198156,8CZVJB0,Sell
1002198255,8CZVJB0,Buy
1002198651,8CZVJB0,Sell
1002198750,8CZVJB0,Buy
1002198859,8CZVJB0,Sell
1002198958,8CZVJB0,Buy
1002199055,8CZVJB0,Sell
1002199154,8CZVJB0,Buy
1002199253,8CZVJB0,Sell
1002199659,8CZVJB0,Buy
1002199758,8CZVJB0,Sell
1002199857,8CZVJB0,Buy
1002199956,8CZVJB0,Sell
1002200010,8CZVJB0,Buy
1002200150,8CZVJB0,Sell
1002200655,8CZVJB0,Buy
1002201158,8CZVJB0,Sell
1002201257,8CZVJB0,Buy
1002201455,8CZVJB0,Sell
1002201653,8CZVJB0,Buy
1002201752,8CZVJB0,Sell
1002201851,8CZVJB0,Buy
1002202255,8CZVJB0,Sell
1002202453,8CZVJB0,Buy
1002202552,8CZVJB0,Sell
1002202651,8CZVJB0,Buy
1002203055,8CZVJB0,Sell
1002203154,8CZVJB0,Buy
1002203352,8CZVJB0,Sell
1002203659,8CZVJB0,Buy
1002203857,8CZVJB0,Sell
1002204053,8CZVJB0,Buy
1002204152,8CZVJB0,Sell
1002204251,8CZVJB0,Buy
1002204855,8CZVJB0,Sell
1002205050,8CZVJB0,Buy
1002205159,8CZVJB0,Sell
1002205357,8CZVJB0,Buy
1002205555,8CZVJB0,Sell
1002205654,8CZVJB0,Buy
1002205951,8CZVJB0,Sell
1002206157,8CZVJB0,Buy
1002206751,8CZVJB0,Sell
1002206850,8CZVJB0,Buy
1002206959,8CZVJB0,Sell
1002207155,8CZVJB0,Buy
1002207254,8CZVJB0,Sell
1002207353,8CZVJB0,Buy
1002207551,8CZVJB0,Sell
1002207650,8CZVJB0,Buy
1002207759,8CZVJB0,Sell
1002208153,8CZVJB0,Buy
1002208351,8CZVJB0,Sell
1002208450,8CZVJB0,Buy
1002209250,8CZVJB0,Sell
1002209359,8CZVJB0,Buy
1002209458,8CZVJB0,Sell
1002209755,8CZVJB0,Buy
1002209854,8CZVJB0,Sell
1002209953,8CZVJB0,Buy
1002210258,8CZVJB0,Sell
1002210654,8CZVJB0,Buy
1002210852,8CZVJB0,Sell
1002211157,8CZVJB0,Buy
1002211256,8CZVJB0,Sell
1002211355,8CZVJB0,Buy
1002211652,8CZVJB0,Sell
1002212114,8CZVJB0,Buy
1002212213,8CZVJB0,Sell
1002212312,8CZVJB0,Buy
1002212452,8CZVJB0,Sell
1002213351,8CZVJB0,Buy
1002213757,8CZVJB0,Sell
1002213856,8CZVJB0,Buy
1002213955,8CZVJB0,Sell
1002214250,8CZVJB0,Buy
1002214458,8CZVJB0,Sell
1002214557,8CZVJB0,Buy
1002214953,8CZVJB0,Sell
1002215257,8CZVJB0,Buy
1002215356,8CZVJB0,Sell
1002215455,8CZVJB0,Buy
1002215554,8CZVJB0,Sell
1002215653,8CZVJB0,Buy
1002216156,8CZVJB0,Sell
1002216354,8CZVJB0,Buy
1002216750,8CZVJB0,Sell
1002216859,8CZVJB0,Buy
1002216958,8CZVJB0,Sell
1002217154,8CZVJB0,Buy
1002217253,8CZVJB0,Sell
1002217352,8CZVJB0,Buy
1002217410,8CZVJB0,Sell
1002217550,8CZVJB0,Buy
1002217758,8CZVJB0,Sell
1002217857,8CZVJB0,Buy
1002217956,8CZVJB0,Sell
1002218517,8CZVJB0,Buy
1002218616,8CZVJB0,Sell
1002218855,8CZVJB0,Buy
1002218954,8CZVJB0,Sell
1002219150,8CZVJB0,Buy
1002219259,8CZVJB0,Sell
1002219754,8CZVJB0,Buy
1002220059,8CZVJB0,Sell
1002220158,8CZVJB0,Buy
1002220257,8CZVJB0,Sell
1002220554,8CZVJB0,Buy
1002220653,8CZVJB0,Sell
1002220752,8CZVJB0,Buy
1002220851,8CZVJB0,Sell
1002220919,8CZVJB0,Buy
1002221057,8CZVJB0,Sell
1002221255,8CZVJB0,Buy
1002221354,8CZVJB0,Sell
1002221859,8CZVJB0,Buy
1002221958,8CZVJB0,Sell
1002222550,8CZVJB0,Buy
1002222956,8CZVJB0,Sell
1002223053,8CZVJB0,Buy
1002223152,8CZVJB0,Sell
1002223459,8CZVJB0,Buy
1002223558,8CZVJB0,Sell
1002223657,8CZVJB0,Buy
1002223756,8CZVJB0,Sell
1002224259,8CZVJB0,Buy
1002224952,8CZVJB0,Sell
1002225058,8CZVJB0,Buy
1002225256,8CZVJB0,Sell
1002225355,8CZVJB0,Buy
1002225454,8CZVJB0,Sell
1002225652,8CZVJB0,Buy
1002225918,8CZVJB0,Sell
1002226056,8CZVJB0,Buy
1002226155,8CZVJB0,Sell
1002226353,8CZVJB0,Buy
1002226650,8CZVJB0,Sell
1002226957,8CZVJB0,Buy
1002227252,8CZVJB0,Sell
1002227450,8CZVJB0,Buy
1002227658,8CZVJB0,Sell
1002227856,8CZVJB0,Buy
1002227955,8CZVJB0,Sell
1002228151,8CZVJB0,Buy
1002228755,8CZVJB0,Sell
1002228953,8CZVJB0,Buy
1002229159,8CZVJB0,Sell
1002229217,8CZVJB0,Buy
1002229357,8CZVJB0,Sell
1002229555,8CZVJB0,Buy
1002229951,8CZVJB0,Sell
1002230058,8CZVJB0,Buy
1002230256,8CZVJB0,Sell
1002230454,8CZVJB0,Buy
1002230850,8CZVJB0,Sell
1002230959,8CZVJB0,Buy
1002231254,8CZVJB0,Sell
1002231650,8CZVJB0,Buy
1002231759,8CZVJB0,Sell
1002232054,8CZVJB0,Buy
1002232559,8CZVJB0,Sell
1002232658,8CZVJB0,Buy
1002232757,8CZVJB0,Sell
1002233755,8CZVJB0,Buy
1002233953,8CZVJB0,Sell
1002234050,8CZVJB0,Buy
1002234159,8CZVJB0,Sell
1002234258,8CZVJB0,Buy
1002234456,8CZVJB0,Sell
1002234555,8CZVJB0,Buy
1002234753,8CZVJB0,Sell
1002235156,8CZVJB0,Buy
1002235255,8CZVJB0,Sell
1002235453,8CZVJB0,Buy
1002235750,8CZVJB0,Sell
1002235859,8CZVJB0,Buy
1002236154,8CZVJB0,Sell
1002236451,8CZVJB0,Buy
1002236550,8CZVJB0,Sell
1002236758,8CZVJB0,Buy
1002236857,8CZVJB0,Sell
1002237251,8CZVJB0,Buy
1002237459,8CZVJB0,Sell
1002237657,8CZVJB0,Buy
1002237715,8CZVJB0,Sell
1002238010,8CZVJB0,Buy
1002238150,8CZVJB0,Sell
1002238457,8CZVJB0,Buy
1002238655,8CZVJB0,Sell
1002238754,8CZVJB0,Buy
1002238853,8CZVJB0,Sell
1002238952,8CZVJB0,Buy
1002239216,8CZVJB0,Sell
1002239950,8CZVJB0,Buy
1002240255,8CZVJB0,Sell
1002240354,8CZVJB0,Buy
1002240552,8CZVJB0,Sell
1002240651,8CZVJB0,Buy
1002240750,8CZVJB0,Sell
1002240917,8CZVJB0,Buy
1002241014,8CZVJB0,Sell
1002241154,8CZVJB0,Buy
1002241451,8CZVJB0,Sell
1002241659,8CZVJB0,Buy
1002241758,8CZVJB0,Sell
1002241857,8CZVJB0,Buy
1002242012,8CZVJB0,Sell
1002242251,8CZVJB0,Buy
1002242459,8CZVJB0,Sell
1002242558,8CZVJB0,Buy
1002242657,8CZVJB0,Sell
1002243010,8CZVJB0,Buy
1002243119,8CZVJB0,Sell
1002243556,8CZVJB0,Buy
1002243655,8CZVJB0,Sell
1002243754,8CZVJB0,Buy
1002243952,8CZVJB0,Sell
1002244059,8CZVJB0,Buy
1002244554,8CZVJB0,Sell
1002244653,8CZVJB0,Buy
1002244752,8CZVJB0,Sell
1002245056,8CZVJB0,Buy
1002245254,8CZVJB0,Sell
1002245353,8CZVJB0,Buy
1002245452,8CZVJB0,Sell
1002245650,8CZVJB0,Buy
1002245916,8CZVJB0,Sell
1002246112,8CZVJB0,Buy
1002246351,8CZVJB0,Sell
1002246450,8CZVJB0,Buy
1002246658,8CZVJB0,Sell
1002246955,8CZVJB0,Buy
1002247151,8CZVJB0,Sell
1002247250,8CZVJB0,Buy
1002247359,8CZVJB0,Sell
1002247458,8CZVJB0,Buy
1002247557,8CZVJB0,Sell
1002247755,8CZVJB0,Buy
1002247854,8CZVJB0,Sell
1002247953,8CZVJB0,Buy
1002248159,8CZVJB0,Sell
1002248258,8CZVJB0,Buy
1002248357,8CZVJB0,Sell
1002248456,8CZVJB0,Buy
1002248555,8CZVJB0,Sell
1002248654,8CZVJB0,Buy
1002248753,8CZVJB0,Sell
1002248852,8CZVJB0,Buy
1002248951,8CZVJB0,Sell
1002249157,8CZVJB0,Buy
1002249256,8CZVJB0,Sell
1002249355,8CZVJB0,Buy
1002249553,8CZVJB0,Sell
1002249652,8CZVJB0,Buy
1002249751,8CZVJB0,Sell
1002249959,8CZVJB0,Buy
1002250056,8CZVJB0,Sell
1002250155,8CZVJB0,Buy
1002250650,8CZVJB0,Sell
1002250858,8CZVJB0,Buy
1002250957,8CZVJB0,Sell
1002251153,8CZVJB0,Buy
1002251252,8CZVJB0,Sell
1002251351,8CZVJB0,Buy
1002251559,8CZVJB0,Sell
1002251856,8CZVJB0,Buy
1002251955,8CZVJB0,Sell
1002252052,8CZVJB0,Buy
1002252151,8CZVJB0,Sell
1002252359,8CZVJB0,Buy
1002252458,8CZVJB0,Sell
1002252656,8CZVJB0,Buy
1002252755,8CZVJB0,Sell
1002253159,8CZVJB0,Buy
1002253712,8CZVJB0,Sell
1002253811,8CZVJB0,Buy
1002253910,8CZVJB0,Sell
1002254017,8CZVJB0,Buy
1002254157,8CZVJB0,Sell
1002254256,8CZVJB0,Buy
1002254355,8CZVJB0,Sell
1002255055,8CZVJB0,Buy
1002255352,8CZVJB0,Sell
1002255451,8CZVJB0,Buy
1002255550,8CZVJB0,Sell
1002255659,8CZVJB0,Buy
1002255857,8CZVJB0,Sell
1002255956,8CZVJB0,Buy
1002256251,8CZVJB0,Sell
1002256657,8CZVJB0,Buy
1002256756,8CZVJB0,Sell
1002256855,8CZVJB0,Buy
1002256954,8CZVJB0,Sell
1002257259,8CZVJB0,Buy
1002257358,8CZVJB0,Sell
1002257457,8CZVJB0,Buy
1002257556,8CZVJB0,Sell
1002257655,8CZVJB0,Buy
1002257853,8CZVJB0,Sell
1002257952,8CZVJB0,Buy
1002258059,8CZVJB0,Sell
1002258158,8CZVJB0,Buy
1002258257,8CZVJB0,Sell
1002258356,8CZVJB0,Buy
1002258919,8CZVJB0,Sell
1002259511,8CZVJB0,Buy
1002259917,8CZVJB0,Sell
1002260113,8CZVJB0,Buy
1002260519,8CZVJB0,Sell
1002260618,8CZVJB0,Buy
1002260717,8CZVJB0,Sell
1002260915,8CZVJB0,Buy
1002261459,8CZVJB0,Sell
1002261756,8CZVJB0,Buy
1002261855,8CZVJB0,Sell
1002261954,8CZVJB0,Buy
1002262051,8CZVJB0,Sell
1002262556,8CZVJB0,Buy
1002262853,8CZVJB0,Sell
1002263158,8CZVJB0,Buy
1002263257,8CZVJB0,Sell
1002263356,8CZVJB0,Buy
1002263455,8CZVJB0,Sell
1002263554,8CZVJB0,Buy
1002263653,8CZVJB0,Sell
1002263752,8CZVJB0,Buy
1002263950,8CZVJB0,Sell
1002264057,8CZVJB0,Buy
1002264412,8CZVJB0,Sell
1002264552,8CZVJB0,Buy
1002264651,8CZVJB0,Sell
1002264958,8CZVJB0,Buy
1002265153,8CZVJB0,Sell
1002265559,8CZVJB0,Buy
1002265658,8CZVJB0,Sell
1002265955,8CZVJB0,Buy
1002266052,8CZVJB0,Sell
1002266151,8CZVJB0,Buy
1002266359,8CZVJB0,Sell
1002266458,8CZVJB0,Buy
1002266557,8CZVJB0,Sell
1002266854,8CZVJB0,Buy
1002267019,8CZVJB0,Sell
1002267159,8CZVJB0,Buy
1002267258,8CZVJB0,Sell
1002267555,8CZVJB0,Buy
1002267753,8CZVJB0,Sell
1002267852,8CZVJB0,Buy
1002268058,8CZVJB0,Sell
1002268157,8CZVJB0,Buy
1002268256,8CZVJB0,Sell
1002268454,8CZVJB0,Buy
1002268850,8CZVJB0,Sell
1002269155,8CZVJB0,Buy
1002269213,8CZVJB0,Sell
1002269312,8CZVJB0,Buy
1002269411,8CZVJB0,Sell
1002269510,8CZVJB0,Buy
1002269619,8CZVJB0,Sell
1002269718,8CZVJB0,Buy
1002270559,8CZVJB0,Sell
1002270658,8CZVJB0,Buy
1002270757,8CZVJB0,Sell
1002270856,8CZVJB0,Buy
1002271151,8CZVJB0,Sell
1002271250,8CZVJB0,Buy
1002271458,8CZVJB0,Sell
1002271557,8CZVJB0,Buy
1002271656,8CZVJB0,Sell
1002271755,8CZVJB0,Buy
1002271854,8CZVJB0,Sell
1002271953,8CZVJB0,Buy
1002272050,8CZVJB0,Sell
1002272258,8CZVJB0,Buy
1002272852,8CZVJB0,Sell
1002273116,8CZVJB0,Buy
1002273314,8CZVJB0,Sell
1002273413,8CZVJB0,Buy
1002273553,8CZVJB0,Sell
1002273850,8CZVJB0,Buy
1002273959,8CZVJB0,Sell
1002274155,8CZVJB0,Buy
1002274353,8CZVJB0,Sell
1002274650,8CZVJB0,Buy
1002274858,8CZVJB0,Sell
1002275012,8CZVJB0,Buy
1002275251,8CZVJB0,Sell
1002275657,8CZVJB0,Buy
1002275954,8CZVJB0,Sell
1002276051,8CZVJB0,Buy
1002276317,8CZVJB0,Sell
1002276457,8CZVJB0,Buy
1002276556,8CZVJB0,Sell
1002276655,8CZVJB0,Buy
1002276853,8CZVJB0,Sell
1002276911,8CZVJB0,Buy
1002277059,8CZVJB0,Sell
1002277158,8CZVJB0,Buy
1002277257,8CZVJB0,Sell
1002277356,8CZVJB0,Buy
1002277554,8CZVJB0,Sell
1002277851,8CZVJB0,Buy
1002278156,8CZVJB0,Sell
1002278214,8CZVJB0,Buy
1002278453,8CZVJB0,Sell
1002278750,8CZVJB0,Buy
1002279253,8CZVJB0,Sell
1002279659,8CZVJB0,Buy
1002279956,8CZVJB0,Sell
1002280053,8CZVJB0,Buy
1002280152,8CZVJB0,Sell
1002280251,8CZVJB0,Buy
1002280350,8CZVJB0,Sell
1002280459,8CZVJB0,Buy
1002280657,8CZVJB0,Sell
1002280756,8CZVJB0,Buy
1002280855,8CZVJB0,Sell
1002281051,8CZVJB0,Buy
1002281150,8CZVJB0,Sell
1002281259,8CZVJB0,Buy
1002281556,8CZVJB0,Sell
1002281655,8CZVJB0,Buy
1002281952,8CZVJB0,Sell
1002282059,8CZVJB0,Buy
1002282158,8CZVJB0,Sell
1002282257,8CZVJB0,Buy
1002282653,8CZVJB0,Sell
1002282752,8CZVJB0,Buy
1002283156,8CZVJB0,Sell
1002283214,8CZVJB0,Buy
1002283651,8CZVJB0,Sell
1002283859,8CZVJB0,Buy
1002283958,8CZVJB0,Sell
1002284055,8CZVJB0,Buy
1002284253,8CZVJB0,Sell
1002285151,8CZVJB0,Buy
1002285359,8CZVJB0,Sell
1002285656,8CZVJB0,Buy
1002285854,8CZVJB0,Sell
1002285953,8CZVJB0,Buy
1002286159,8CZVJB0,Sell
1002286456,8CZVJB0,Buy
1002286753,8CZVJB0,Sell
1002286852,8CZVJB0,Buy
1002287355,8CZVJB0,Sell
1002287454,8CZVJB0,Buy
1002287751,8CZVJB0,Sell
1002287959,8CZVJB0,Buy
1002288155,8CZVJB0,Sell
1002288353,8CZVJB0,Buy
1002288452,8CZVJB0,Sell
1002288650,8CZVJB0,Buy
1002288718,8CZVJB0,Sell
1002288957,8CZVJB0,Buy
1002289658,8CZVJB0,Sell
1002289757,8CZVJB0,Buy
1002289856,8CZVJB0,Sell
1002289955,8CZVJB0,Buy
1002290052,8CZVJB0,Sell
1002290151,8CZVJB0,Buy
1002290359,8CZVJB0,Sell
1002290656,8CZVJB0,Buy
1002290755,8CZVJB0,Sell
1002290854,8CZVJB0,Buy
1002290953,8CZVJB0,Sell
1002291159,8CZVJB0,Buy
1002291357,8CZVJB0,Sell
1002291555,8CZVJB0,Buy
1002291753,8CZVJB0,Sell
1002292058,8CZVJB0,Buy
1002292157,8CZVJB0,Sell
1002292454,8CZVJB0,Buy
